eventID,sceneID,speakerID,Tej (1),Jimmy (2),Suki (3),Orange Julius (4),Slap Jack (5),Brian O'Conner (6),Monica Fuentes (7),Agent Markham (8),Agent Bilkins (9),Agent Dunn (10),Roman Pearce (11),Korpi (12),Roberto (13),Enrique (14),Carter Verone (15),Darden (16),Detective Whitworth (17)
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,1,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
