eventID,sceneID,speakerID,Cindy (1),Sean Boswell (2),Clay (3),Ms. Boswell (4),Major Boswell (5),Twinkie (6),Neela (7),Reiko (8),Earl (9),D.K. (10),Han (11),Morimoto (12),Uncle Kamata (13),Dominic Toretto (14)
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,9,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0
69,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,9,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,9,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,9,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,9,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
